run_dir,group,task_id,op_family,op_name,shape,dtype,seed,final_decision,compile_success,smoke_pass,quick_pass,hidden_pass,anti_cheating_pass,latency_p50_ms,latency_p95_ms,speedup_vs_eager_p50,speedup_vs_torch_compile_p50,correct_and_faster_vs_eager,correct_and_faster_vs_torch_compile,iterations,iterations_to_first_compile,iterations_to_first_correct,wall_time_s,gpu_benchmark_runs,invalid_compile_attempts,retrieved_capsule_count,context_packet_tokens_proxy
artifacts/h20/runs_round1_softmax_family_seed0/A0_no_kb/round1_softmax_row_softmax_1024x128_fp16/seed0,A0_no_kb,round1_softmax_row_softmax_1024x128_fp16,softmax,row_softmax,"[1024, 128]",fp16,0,KEEP,1,1,1,1,1,0.02304000034928322,0.026240000501275063,1.1402777928237393,2.1944444669011034,1,1,1,1,1,3.348548650741577,500,0,0,24
artifacts/h20/runs_round1_softmax_family_seed0/A0_no_kb/round1_softmax_row_softmax_1024x257_fp16/seed0,A0_no_kb,round1_softmax_row_softmax_1024x257_fp16,softmax,row_softmax,"[1024, 257]",fp16,0,KEEP,1,1,1,1,1,0.02380800060927868,0.02707199938595295,1.189516080765631,2.2486559233373833,1,1,1,1,1,2.991461992263794,500,0,0,24
artifacts/h20/runs_round1_softmax_family_seed0/A0_no_kb/round1_softmax_row_softmax_4096x1024_bf16/seed0,A0_no_kb,round1_softmax_row_softmax_4096x1024_bf16,softmax,row_softmax,"[4096, 1024]",bf16,0,KEEP,1,1,1,1,1,0.02449600026011467,0.027168000116944313,1.977792275832073,2.045721793997349,1,1,1,1,1,2.3259403705596924,500,0,0,24
artifacts/h20/runs_round1_softmax_family_seed0/A0_no_kb/round1_softmax_row_softmax_512x4096_fp32/seed0,A0_no_kb,round1_softmax_row_softmax_512x4096_fp32,softmax,row_softmax,"[512, 4096]",fp32,0,DISCARD,1,1,1,1,1,0.02579200081527233,0.028095999732613564,0.797766732445173,2.086848571619433,0,1,1,1,1,3.1826329231262207,500,0,0,24
artifacts/h20/runs_round1_softmax_family_seed0/A0_no_kb/round1_softmax_row_softmax_8192x2048_fp16/seed0,A0_no_kb,round1_softmax_row_softmax_8192x2048_fp16,softmax,row_softmax,"[8192, 2048]",fp16,0,KEEP,1,1,1,1,1,0.045184001326560974,0.047648001462221146,3.60977321438524,2.3059490206437667,1,1,1,1,1,3.182648181915283,500,0,0,24
artifacts/h20/runs_round1_softmax_family_seed0/A1_plain_rag/round1_softmax_row_softmax_1024x128_fp16/seed0,A1_plain_rag,round1_softmax_row_softmax_1024x128_fp16,softmax,row_softmax,"[1024, 128]",fp16,0,KEEP,1,1,1,1,1,0.024768000468611717,0.027456000447273254,1.0736433685870708,2.1220930481779687,1,1,1,1,1,2.3186681270599365,500,0,0,467
artifacts/h20/runs_round1_softmax_family_seed0/A1_plain_rag/round1_softmax_row_softmax_1024x257_fp16/seed0,A1_plain_rag,round1_softmax_row_softmax_1024x257_fp16,softmax,row_softmax,"[1024, 257]",fp16,0,KEEP,1,1,1,1,1,0.023840000852942467,0.027135999873280525,1.2040268292772491,2.193288492861514,1,1,1,1,1,2.4412012100219727,500,0,0,467
artifacts/h20/runs_round1_softmax_family_seed0/A1_plain_rag/round1_softmax_row_softmax_4096x1024_bf16/seed0,A1_plain_rag,round1_softmax_row_softmax_4096x1024_bf16,softmax,row_softmax,"[4096, 1024]",bf16,0,KEEP,1,1,1,1,1,0.025919999927282333,0.02921600081026554,1.8925926367739905,1.969135854812559,1,1,1,1,1,2.4673261642456055,500,0,0,467
artifacts/h20/runs_round1_softmax_family_seed0/A1_plain_rag/round1_softmax_row_softmax_512x4096_fp32/seed0,A1_plain_rag,round1_softmax_row_softmax_512x4096_fp32,softmax,row_softmax,"[512, 4096]",fp32,0,DISCARD,1,1,1,1,1,0.023615999147295952,0.02687999978661537,0.8495935283174365,2.2615177230108694,0,1,1,1,1,2.521397829055786,500,0,0,467
artifacts/h20/runs_round1_softmax_family_seed0/A1_plain_rag/round1_softmax_row_softmax_8192x2048_fp16/seed0,A1_plain_rag,round1_softmax_row_softmax_8192x2048_fp16,softmax,row_softmax,"[8192, 2048]",fp16,0,KEEP,1,1,1,1,1,0.045823998749256134,0.048287998884916306,3.5502794699460667,2.2178771340302967,1,1,1,1,1,2.523740530014038,500,0,0,467
artifacts/h20/runs_round1_softmax_family_seed0/A2_rulebook/round1_softmax_row_softmax_1024x128_fp16/seed0,A2_rulebook,round1_softmax_row_softmax_1024x128_fp16,softmax,row_softmax,"[1024, 128]",fp16,0,KEEP,1,1,1,1,1,0.020096000283956528,0.02316799946129322,1.3248407306803864,2.4888535111546455,1,1,1,1,1,2.370281934738159,500,0,0,99
artifacts/h20/runs_round1_softmax_family_seed0/A2_rulebook/round1_softmax_row_softmax_1024x257_fp16/seed0,A2_rulebook,round1_softmax_row_softmax_1024x257_fp16,softmax,row_softmax,"[1024, 257]",fp16,0,KEEP,1,1,1,1,1,0.02175999991595745,0.02409599907696247,1.3117646842307142,2.351470526679182,1,1,1,1,1,2.4141666889190674,500,0,0,99
artifacts/h20/runs_round1_softmax_family_seed0/A2_rulebook/round1_softmax_row_softmax_4096x1024_bf16/seed0,A2_rulebook,round1_softmax_row_softmax_4096x1024_bf16,softmax,row_softmax,"[4096, 1024]",bf16,0,KEEP,1,1,1,1,1,0.022447999566793442,0.024671999737620354,2.1646472798227765,2.263720620481231,1,1,1,1,1,2.4083237648010254,500,0,0,99
artifacts/h20/runs_round1_softmax_family_seed0/A2_rulebook/round1_softmax_row_softmax_512x4096_fp32/seed0,A2_rulebook,round1_softmax_row_softmax_512x4096_fp32,softmax,row_softmax,"[512, 4096]",fp32,0,DISCARD,1,1,1,1,1,0.021727999672293663,0.02425600029528141,0.9410898171653623,2.3799705292636664,0,1,1,1,1,2.395026922225952,500,0,0,99
artifacts/h20/runs_round1_softmax_family_seed0/A2_rulebook/round1_softmax_row_softmax_8192x2048_fp16/seed0,A2_rulebook,round1_softmax_row_softmax_8192x2048_fp16,softmax,row_softmax,"[8192, 2048]",fp16,0,KEEP,1,1,1,1,1,0.04291199892759323,0.04543999955058098,3.7852349948806774,2.390007484958463,1,1,1,1,1,2.6248745918273926,500,0,0,99
artifacts/h20/runs_round1_softmax_family_seed0/A3_ecc_kb/round1_softmax_row_softmax_1024x128_fp16/seed0,A3_ecc_kb,round1_softmax_row_softmax_1024x128_fp16,softmax,row_softmax,"[1024, 128]",fp16,0,KEEP,1,1,1,1,1,0.024447999894618988,0.027775999158620834,1.1767015455505423,2.160340316728912,1,1,1,1,1,2.414659023284912,500,0,1,191
artifacts/h20/runs_round1_softmax_family_seed0/A3_ecc_kb/round1_softmax_row_softmax_1024x257_fp16/seed0,A3_ecc_kb,round1_softmax_row_softmax_1024x257_fp16,softmax,row_softmax,"[1024, 257]",fp16,0,KEEP,1,1,1,1,1,0.023552000522613525,0.026367999613285065,1.125,2.2105978432796727,1,1,1,1,1,2.4128620624542236,500,0,1,191
artifacts/h20/runs_round1_softmax_family_seed0/A3_ecc_kb/round1_softmax_row_softmax_4096x1024_bf16/seed0,A3_ecc_kb,round1_softmax_row_softmax_4096x1024_bf16,softmax,row_softmax,"[4096, 1024]",bf16,0,KEEP,1,1,1,1,1,0.027712000533938408,0.02985600009560585,1.7725173408079318,1.8481523470558452,1,1,1,1,1,2.409590244293213,500,0,1,191
artifacts/h20/runs_round1_softmax_family_seed0/A3_ecc_kb/round1_softmax_row_softmax_512x4096_fp32/seed0,A3_ecc_kb,round1_softmax_row_softmax_512x4096_fp32,softmax,row_softmax,"[512, 4096]",fp32,0,DISCARD,1,1,1,1,1,0.025919999927282333,0.0289280004799366,0.7827160470760567,2.0864196927584064,0,1,1,1,1,2.420391798019409,500,0,1,191
artifacts/h20/runs_round1_softmax_family_seed0/A3_ecc_kb/round1_softmax_row_softmax_8192x2048_fp16/seed0,A3_ecc_kb,round1_softmax_row_softmax_8192x2048_fp16,softmax,row_softmax,"[8192, 2048]",fp16,0,KEEP,1,1,1,1,1,0.04492799937725067,0.047807998955249786,3.618945781304362,2.250712339062449,1,1,1,1,1,2.4216911792755127,500,0,1,191
